坑口(北) (將軍澳醫院) (TK950)	坑口(北) (将军澳医院) (TK950)
粉嶺站轉車站 - 粉嶺站 (ND135)	粉岭站转车站 - 粉岭站 (ND135)
粉嶺站轉車站 - 粉嶺站 (ND495)	粉岭站转车站 - 粉岭站 (ND495)
粉嶺站轉車站 - 粉嶺站 (ND496)	粉岭站转车站 - 粉岭站 (ND496)
紅磡(紅鸞道) 嘉里酒店 (HH901)	红磡(红鸾道) 嘉里酒店 (HH901)
紅磡(紅鸞道) 嘉里酒店 (HH902)	红磡(红鸾道) 嘉里酒店 (HH902)
紅磡(紅鸞道) 嘉里酒店 (HH903)	红磡(红鸾道) 嘉里酒店 (HH903)
紅磡(紅鸞道) 嘉里酒店 (HH904)	红磡(红鸾道) 嘉里酒店 (HH904)
紅磡(紅鸞道) 嘉里酒店 (HH905)	红磡(红鸾道) 嘉里酒店 (HH905)
紅磡(紅鸞道) 嘉里酒店 (HH906)	红磡(红鸾道) 嘉里酒店 (HH906)
紅磡(紅鸞道) 嘉里酒店 (HH907)	红磡(红鸾道) 嘉里酒店 (HH907)
紅磡(紅鸞道) 嘉里酒店 (HH908)	红磡(红鸾道) 嘉里酒店 (HH908)
紅磡(紅鸞道) 嘉里酒店 (HH909)	红磡(红鸾道) 嘉里酒店 (HH909)
觀塘轉車站 - 創紀之城 (KT343)	观塘转车站 - 创纪之城 (KT343)
觀塘轉車站 - 創紀之城 (KT344)	观塘转车站 - 创纪之城 (KT344)
觀塘轉車站 - 創紀之城 (KT345)	观塘转车站 - 创纪之城 (KT345)
觀塘轉車站 - 創紀之城 (KT634)	观塘转车站 - 创纪之城 (KT634)
觀塘轉車站 - 創紀之城 (KT635)	观塘转车站 - 创纪之城 (KT635)
觀塘轉車站 - 創紀之城 (KT636)	观塘转车站 - 创纪之城 (KT636)
觀塘轉車站 - 創紀之城 (KT637)	观塘转车站 - 创纪之城 (KT637)
觀塘轉車站 - 創紀之城 (KT638)	观塘转车站 - 创纪之城 (KT638)
觀塘轉車站 - 創紀之城 (KT639)	观塘转车站 - 创纪之城 (KT639)
觀塘轉車站 - 創紀之城 (KT640)	观塘转车站 - 创纪之城 (KT640)
觀塘轉車站 - 創紀之城 (KT641)	观塘转车站 - 创纪之城 (KT641)
觀塘轉車站 - 創紀之城 (KT642)	观塘转车站 - 创纪之城 (KT642)
觀塘轉車站 - 創紀之城 (KT643)	观塘转车站 - 创纪之城 (KT643)
觀塘轉車站 - 牛頭角站 (KT644)	观塘转车站 - 牛头角站 (KT644)
