坑口(北) (將軍澳醫院) (TK950)	坑口(北) (将军澳医院) (TK950)
大埔安慈路 (TP743)	大埔安慈路 (TP743)
大埔安祥路 (TP310)	大埔安祥路 (TP310)
大埔安祥路 (TP311)	大埔安祥路 (TP311)
大埔安祥路 (TP536)	大埔安祥路 (TP536)
大埔安祥路 (TP537)	大埔安祥路 (TP537)
大埔寶鄉橋 (TP303)	大埔宝乡桥 (TP303)
大埔寶鄉街 (TP300)	大埔宝乡街 (TP300)
大埔寶鄉街 (TP301)	大埔宝乡街 (TP301)
大埔工業邨 (TP734)	大埔工业邨 (TP734)
大埔工業邨 (TP870)	大埔工业邨 (TP870)
大埔工業邨 (TP871)	大埔工业邨 (TP871)
大埔工業邨 (TP872)	大埔工业邨 (TP872)
大埔工業邨 (TP873)	大埔工业邨 (TP873)
大埔工業邨 (TP874)	大埔工业邨 (TP874)
大埔工業邨 (TP875)	大埔工业邨 (TP875)
大埔平安里 (TP612)	大埔平安里 (TP612)
大埔廣福道 (TP277)	大埔广福道 (TP277)
大埔廣福道 (TP563)	大埔广福道 (TP563)
大埔滘公園 (TP259)	大埔滘公园 (TP259)
大埔翠怡街 (TP340)	大埔翠怡街 (TP340)
大埔超級城 (TP317)	大埔超级城 (TP317)
大埔超級城 (TP390)	大埔超级城 (TP390)
大埔運頭街 (TP590)	大埔运头街 (TP590)
大埔露輝路 (TP624)	大埔露辉路 (TP624)
大埔露輝路 (TP733)	大埔露辉路 (TP733)
大埔頭總站 (TP975)	大埔头总站 (TP975)
大埔頭總站 (TP976)	大埔头总站 (TP976)
大灘燒烤場 (SK197)	大滩烧烤场 (SK197)
大網仔新村 (SK179)	大网仔新村 (SK179)
大網仔新村 (SK424)	大网仔新村 (SK424)
大美督總站 (TP885)	大美督总站 (TP885)
大美督總站 (TP886)	大美督总站 (TP886)
大興體育館 (TM475)	大兴体育馆 (TM475)
大興體育館 (TM476)	大兴体育馆 (TM476)
大興體育館 (TM553)	大兴体育馆 (TM553)
大興體育館 (TM554)	大兴体育馆 (TM554)
天保民學校 (KC410)	天保民学校 (KC410)
天保民學校 (KC541)	天保民学校 (KC541)
天平邨總站 (ND950)	天平邨总站 (ND950)
天平邨總站 (ND951)	天平邨总站 (ND951)
天平邨總站 (ND952)	天平邨总站 (ND952)
天恆邨總站 (TN970)	天恒邨总站 (TN970)
天恆邨總站 (TN971)	天恒邨总站 (TN971)
天恆邨總站 (TN972)	天恒邨总站 (TN972)
天恩邨總站 (TN950)	天恩邨总站 (TN950)
天恩邨總站 (TN951)	天恩邨总站 (TN951)
天恩邨總站 (TN952)	天恩邨总站 (TN952)
天水圍公園 (TN220)	天水围公园 (TN220)
天水圍公園 (TN221)	天水围公园 (TN221)
天水圍公園 (TN510)	天水围公园 (TN510)
天水圍公園 (TN511)	天水围公园 (TN511)
天水圍警署 (TN207)	天水围警署 (TN207)
太古城中心 (ED355)	太古城中心 (ED355)
安達臣總站 (AN910)	安达臣总站 (AN910)
安達臣總站 (AN911)	安达臣总站 (AN911)
安達臣總站 (AN913)	安达臣总站 (AN913)
安達臣總站 (AN914)	安达臣总站 (AN914)
富善邨總站 (TP967)	富善邨总站 (TP967)
富善邨總站 (TP968)	富善邨总站 (TP968)
富善邨總站 (TP969)	富善邨总站 (TP969)
富山邨總站 (WT971)	富山邨总站 (WT971)
富山邨總站 (WT972)	富山邨总站 (WT972)
富泰邨總站 (TM916)	富泰邨总站 (TM916)
富泰邨總站 (TM917)	富泰邨总站 (TM917)
寶林消防局 (TK203)	宝林消防局 (TK203)
寶馬山總站 (ED960)	宝马山总站 (ED960)
將軍澳中心 (TK120)	将军澳中心 (TK120)
將軍澳中心 (TK562)	将军澳中心 (TK562)
將軍澳中心 (TK563)	将军澳中心 (TK563)
將軍澳廣場 (TK122)	将军澳广场 (TK122)
將軍澳醫院 (TK260)	将军澳医院 (TK260)
小欖澄麗路 (TM207)	小榄澄丽路 (TM207)
小欖澄麗路 (TM326)	小榄澄丽路 (TM326)
尖沙咀警署 (YT113)	尖沙咀警署 (YT113)
屏山屏興里 (YL116)	屏山屏兴里 (YL116)
屏山屏興里 (YL610)	屏山屏兴里 (YL610)
屯門大會堂 (TM120)	屯门大会堂 (TM120)
屯門大會堂 (TM121)	屯门大会堂 (TM121)
屯門大會堂 (TM965)	屯门大会堂 (TM965)
屯門屯仁街 (TM717)	屯门屯仁街 (TM717)
屯門屯仁街 (TM718)	屯门屯仁街 (TM718)
屯門市中心 (TM973)	屯门市中心 (TM973)
屯門市中心 (TM974)	屯门市中心 (TM974)
屯門市中心 (TM975)	屯门市中心 (TM975)
屯門市廣場 (TM122)	屯门市广场 (TM122)
屯門市廣場 (TM123)	屯门市广场 (TM123)
屯門市廣場 (TM124)	屯门市广场 (TM124)
屯門市廣場 (TM125)	屯门市广场 (TM125)
屯門消防局 (TM177)	屯门消防局 (TM177)
屯門消防局 (TM600)	屯门消防局 (TM600)
崗背街花園 (ST224)	岗背街花园 (ST224)
希爾頓中心 (ST160)	希尔顿中心 (ST160)
希爾頓中心 (ST161)	希尔顿中心 (ST161)
希爾頓中心 (ST162)	希尔顿中心 (ST162)
希爾頓中心 (ST163)	希尔顿中心 (ST163)
康寧道公園 (KT244)	康宁道公园 (KT244)
康寧道公園 (KT542)	康宁道公园 (KT542)
廣生行大廈 (WC667)	广生行大厦 (WC667)
廣福邨商場 (TP355)	广福邨商场 (TP355)
延文禮士道 (WT220)	延文礼士道 (WT220)
形點 II (YL390)	形点 II (YL390)
形點 II (YL391)	形点 II (YL391)
形點 II (YL392)	形点 II (YL392)
形點 II (YL393)	形点 II (YL393)
形點 II (YL394)	形点 II (YL394)
形點 II (YL395)	形点 II (YL395)
往坑口(北)(將軍澳醫院)	往坑口(北)(将军澳医院)
往藍田(康華苑)(循環線)	往蓝田(康华苑)(循环线)
往青嶼幹線轉車站(循環線)	往青屿干线转车站(循环线)
德忌利士街 (CW144)	德忌利士街 (CW144)
愛秩序灣道 (ED372)	爱秩序湾道 (ED372)
打石湖石塘 (YL336)	打石湖石塘 (YL336)
打石湖石塘 (YL600)	打石湖石塘 (YL600)
打鼓嶺新村 (SK105)	打鼓岭新村 (SK105)
打鼓嶺新村 (SK504)	打鼓岭新村 (SK504)
打鼓嶺警署 (ND315)	打鼓岭警署 (ND315)
打鼓嶺警署 (ND503)	打鼓岭警署 (ND503)
拔萃女書院 (YT665)	拔萃女书院 (YT665)
拔萃女書院 (YT666)	拔萃女书院 (YT666)
文化博物館 (ST103)	文化博物馆 (ST103)
文化博物館 (ST104)	文化博物馆 (ST104)
文化博物館 (ST770)	文化博物馆 (ST770)
文化博物館 (ST771)	文化博物馆 (ST771)
新九龍廣場 (MK111)	新九龙广场 (MK111)
新屯門中心 (TM433)	新屯门中心 (TM433)
新屯門中心 (TM434)	新屯门中心 (TM434)
新屯門中心 (TM440)	新屯门中心 (TM440)
新屯門中心 (TM441)	新屯门中心 (TM441)
新屯門中心 (TM673)	新屯门中心 (TM673)
新屯門中心 (TM675)	新屯门中心 (TM675)
新葵興花園 (KW456)	新葵兴花园 (KW456)
新葵興花園 (KW457)	新葵兴花园 (KW457)
新葵興花園 (KW458)	新葵兴花园 (KW458)
新葵興花園 (KW459)	新葵兴花园 (KW459)
新葵興花園 (KW540)	新葵兴花园 (KW540)
新葵興花園 (KW541)	新葵兴花园 (KW541)
新都城二期 (TK925)	新都城二期 (TK925)
新都城大廈 (ED561)	新都城大厦 (ED561)
新都會廣場 (KW536)	新都会广场 (KW536)
新都會廣場 (KW544)	新都会广场 (KW544)
新都會廣場 (KW545)	新都会广场 (KW545)
新都會廣場 (KW546)	新都会广场 (KW546)
旺角塘尾道 (MK304)	旺角塘尾道 (MK304)
旺角塘尾道 (MK305)	旺角塘尾道 (MK305)
旺角塘尾道 (MK306)	旺角塘尾道 (MK306)
旺角山東街 (MK519)	旺角山东街 (MK519)
旺角快富街 (MK175)	旺角快富街 (MK175)
旺角快富街 (MK176)	旺角快富街 (MK176)
旺角快富街 (MK177)	旺角快富街 (MK177)
旺角快富街 (MK178)	旺角快富街 (MK178)
旺角豉油街 (MK163)	旺角豉油街 (MK163)
旺角豉油街 (MK164)	旺角豉油街 (MK164)
旺角豉油街 (MK520)	旺角豉油街 (MK520)
旺角豉油街 (MK521)	旺角豉油街 (MK521)
旺角豉油街 (MK522)	旺角豉油街 (MK522)
旺角豉油街 (MK523)	旺角豉油街 (MK523)
旺角長沙街 (MK162)	旺角长沙街 (MK162)
旺角鴉蘭街 (MK650)	旺角鸦兰街 (MK650)
旺角鴉蘭街 (MK651)	旺角鸦兰街 (MK651)
昂船洲軍營 (SS350)	昂船洲军营 (SS350)
朗屏站總站 (YL930)	朗屏站总站 (YL930)
朗屏站總站 (YL932)	朗屏站总站 (YL932)
朗屏邨總站 (YL920)	朗屏邨总站 (YL920)
朗屏邨總站 (YL923)	朗屏邨总站 (YL923)
朗屏邨總站 (YL924)	朗屏邨总站 (YL924)
朗屏邨總站 (YL925)	朗屏邨总站 (YL925)
李鄭屋商場 (SS297)	李郑屋商场 (SS297)
杏花邨總站 (ED980)	杏花邨总站 (ED980)
東普陀總站 (TW890)	东普陀总站 (TW890)
東普陀總站 (TW891)	东普陀总站 (TW891)
東涌消防局 (TC195)	东涌消防局 (TC195)
東涌纜車站 (TC410)	东涌缆车站 (TC410)
東涌纜車站 (TC411)	东涌缆车站 (TC411)
東涌纜車站 (TC412)	东涌缆车站 (TC412)
東涌纜車站 (TC413)	东涌缆车站 (TC413)
東涌纜車站 (TC414)	东涌缆车站 (TC414)
東隧轉車站 (LT100)	东隧转车站 (LT100)
東隧轉車站 (LT101)	东隧转车站 (LT101)
東隧轉車站 (LT410)	东隧转车站 (LT410)
東隧轉車站 (LT411)	东隧转车站 (LT411)
東隧轉車站 (LT412)	东隧转车站 (LT412)
林村河畔　 (TP391)	林村河畔　 (TP391)
林村許願樹 (TP860)	林村许愿树 (TP860)
柯士甸道西 (YT261)	柯士甸道西 (YT261)
柯士甸道西 (YT262)	柯士甸道西 (YT262)
柯布連道  (NR917)	柯布连道  (NR917)
柴灣工業城 (ED400)	柴湾工业城 (ED400)
桂華山中學 (ED605)	桂华山中学 (ED605)
梁式芝書院 (KT288)	梁式芝书院 (KT288)
梁式芝書院 (KT511)	梁式芝书院 (KT511)
梁式芝書院 (KT512)	梁式芝书院 (KT512)
梁潔華小學 (TK466)	梁洁华小学 (TK466)
梁潔華小學 (TK467)	梁洁华小学 (TK467)
梁潔華小學 (TK468)	梁洁华小学 (TK468)
楊屋道街市 (TW274)	杨屋道街市 (TW274)
楊屋道街市 (TW275)	杨屋道街市 (TW275)
楊屋道街市 (TW580)	杨屋道街市 (TW580)
楊屋道街市 (TW581)	杨屋道街市 (TW581)
楊屋道街市 (TW582)	杨屋道街市 (TW582)
楊屋道街市 (TW583)	杨屋道街市 (TW583)
楊屋道街市 (TW584)	杨屋道街市 (TW584)
楊屋道街市 (TW585)	杨屋道街市 (TW585)
樂富遊樂場 (WT625)	乐富游乐场 (WT625)
機利士南路 (HH330)	机利士南路 (HH330)
機利士南路 (HH331)	机利士南路 (HH331)
機利士南路 (HH332)	机利士南路 (HH332)
機利士南路 (HH333)	机利士南路 (HH333)
機利士南路 (HH334)	机利士南路 (HH334)
機利士南路 (HH335)	机利士南路 (HH335)
機場博覽館 (CL320)	机场博览馆 (CL320)
民航處總部 (CL231)	民航处总部 (CL231)
民航處總部 (CL232)	民航处总部 (CL232)
水泉澳總站 (ST970)	水泉澳总站 (ST970)
水泉澳總站 (ST971)	水泉澳总站 (ST971)
水泉澳總站 (ST972)	水泉澳总站 (ST972)
水泉澳總站 (ST973)	水泉澳总站 (ST973)
水泉澳總站 (ST974)	水泉澳总站 (ST974)
水泉澳總站 (ST975)	水泉澳总站 (ST975)
污水處理廠 (TP755)	污水处理厂 (TP755)
沙田圍新村 (ST666)	沙田围新村 (ST666)
沙田圍新村 (ST667)	沙田围新村 (ST667)
沙田大會堂 (ST740)	沙田大会堂 (ST740)
沙田大會堂 (ST741)	沙田大会堂 (ST741)
沙田大會堂 (ST742)	沙田大会堂 (ST742)
沙田大會堂 (ST743)	沙田大会堂 (ST743)
沙田大會堂 (ST744)	沙田大会堂 (ST744)
沙田市中心 (ST749)	沙田市中心 (ST749)
沙田市中心 (ST750)	沙田市中心 (ST750)
沙田第一城 (ST144)	沙田第一城 (ST144)
沙田第一城 (ST145)	沙田第一城 (ST145)
沙田第一城 (ST146)	沙田第一城 (ST146)
沙田第一城 (ST506)	沙田第一城 (ST506)
沙田第一城 (ST507)	沙田第一城 (ST507)
沙田第一城 (ST508)	沙田第一城 (ST508)
沙田第一城 (ST509)	沙田第一城 (ST509)
沙田第一城 (ST510)	沙田第一城 (ST510)
沙頭角總站 (ND896)	沙头角总站 (ND896)
沙頭角總站 (ND897)	沙头角总站 (ND897)
沙頭角診所 (ND283)	沙头角诊所 (ND283)
沙頭角診所 (ND533)	沙头角诊所 (ND533)
油麻地碧街 (YT144)	油麻地碧街 (YT144)
油麻地碧街 (YT145)	油麻地碧街 (YT145)
油麻地碧街 (YT146)	油麻地碧街 (YT146)
油麻地碧街 (YT147)	油麻地碧街 (YT147)
油麻地碧街 (YT148)	油麻地碧街 (YT148)
油麻地碧街 (YT536)	油麻地碧街 (YT536)
油麻地碧街 (YT537)	油麻地碧街 (YT537)
油麻地碧街 (YT538)	油麻地碧街 (YT538)
油麻地碧街 (YT539)	油麻地碧街 (YT539)
海濱道公園 (KT580)	海滨道公园 (KT580)
涌尾燒烤場 (TP644)	涌尾烧烤场 (TP644)
涌尾燒烤場 (TP701)	涌尾烧烤场 (TP701)
涌背燒烤場 (TP643)	涌背烧烤场 (TP643)
涌背燒烤場 (TP702)	涌背烧烤场 (TP702)
深井深慈街 (TW186)	深井深慈街 (TW186)
深井深慈街 (TW187)	深井深慈街 (TW187)
深井深慈街 (TW347)	深井深慈街 (TW347)
深井深慈街 (TW348)	深井深慈街 (TW348)
深水埗公園 (SS313)	深水埗公园 (SS313)
深水埗警署 (SS711)	深水埗警署 (SS711)
深水埗警署 (SS712)	深水埗警署 (SS712)
深水埗警署 (SS713)	深水埗警署 (SS713)
清水灣半島 (TK536)	清水湾半岛 (TK536)
清水灣半島 (TK550)	清水湾半岛 (TK550)
清水灣總站 (SK960)	清水湾总站 (SK960)
清水灣總站 (SK961)	清水湾总站 (SK961)
清河邨總站 (ND935)	清河邨总站 (ND935)
清河邨總站 (ND936)	清河邨总站 (ND936)
清河邨總站 (ND937)	清河邨总站 (ND937)
清河邨總站 (ND938)	清河邨总站 (ND938)
清河邨總站 (ND940)	清河邨总站 (ND940)
濕地公園路 (TN302)	湿地公园路 (TN302)
濕地公園路 (TN400)	湿地公园路 (TN400)
灣仔消防局 (WC220)	湾仔消防局 (WC220)
灣仔消防局 (WC221)	湾仔消防局 (WC221)
灣仔訓練池 (WC171)	湾仔训练池 (WC171)
火炭駿洋邨 (FT930)	火炭骏洋邨 (FT930)
火炭駿洋邨 (FT931)	火炭骏洋邨 (FT931)
火炭駿洋邨 (FT932)	火炭骏洋邨 (FT932)
火炭駿洋邨 (FT933)	火炭骏洋邨 (FT933)
火炭駿洋邨 (FT934)	火炭骏洋邨 (FT934)
烏溪沙新村 (MA302)	乌溪沙新村 (MA302)
烏蛟騰總站 (TP880)	乌蛟腾总站 (TP880)
營盤（上） (ND596)	营盘（上） (ND596)
牛皮沙新村 (ST324)	牛皮沙新村 (ST324)
牛皮沙新村 (ST325)	牛皮沙新村 (ST325)
牛皮沙新村 (ST630)	牛皮沙新村 (ST630)
牛皮沙新村 (ST631)	牛皮沙新村 (ST631)
牛頭角上邨 (KT377)	牛头角上邨 (KT377)
牛頭角下邨 (KT323)	牛头角下邨 (KT323)
牛頭角下邨 (KT324)	牛头角下邨 (KT324)
牛頭角下邨 (KT325)	牛头角下邨 (KT325)
牛頭角下邨 (KT326)	牛头角下邨 (KT326)
牛頭角下邨 (KT327)	牛头角下邨 (KT327)
牛頭角下邨 (KT328)	牛头角下邨 (KT328)
牛頭角下邨 (KT654)	牛头角下邨 (KT654)
牛頭角下邨 (KT655)	牛头角下邨 (KT655)
牛頭角下邨 (KT656)	牛头角下邨 (KT656)
牛頭角總站 (KT955)	牛头角总站 (KT955)
牛頭角總站 (KT956)	牛头角总站 (KT956)
牛頭角總站 (KT957)	牛头角总站 (KT957)
牛頭角總站 (KT958)	牛头角总站 (KT958)
牛頭角總站 (KT959)	牛头角总站 (KT959)
獅子山隧道 (ST100)	狮子山隧道 (ST100)
獅子山隧道 (ST780)	狮子山隧道 (ST780)
王仲銘中學 (WT322)	王仲铭中学 (WT322)
王肇枝中學 (TP275)	王肇枝中学 (TP275)
瑪嘉烈醫院 (KW284)	玛嘉烈医院 (KW284)
瑪嘉烈醫院 (KW440)	玛嘉烈医院 (KW440)
田家炳學校 (ST681)	田家炳学校 (ST681)
田家炳學校 (ST682)	田家炳学校 (ST682)
田家炳學校 (ST683)	田家炳学校 (ST683)
田家炳學校 (ST684)	田家炳学校 (ST684)
畢架山花園 (SS190)	毕架山花园 (SS190)
畢架山花園 (SS191)	毕架山花园 (SS191)
畢架山花園 (SS732)	毕架山花园 (SS732)
畢架山花園 (SS733)	毕架山花园 (SS733)
皇后像廣場 (CW145)	皇后像广场 (CW145)
皇后像廣場 (CW775)	皇后像广场 (CW775)
皇后山總站 (ND970)	皇后山总站 (ND970)
皇后山總站 (ND972)	皇后山总站 (ND972)
皇后山總站 (ND976)	皇后山总站 (ND976)
皇后山總站 (ND977)	皇后山总站 (ND977)
盛德街總站 (KC920)	盛德街总站 (KC920)
石圍角新村 (TW493)	石围角新村 (TW493)
石梨貝水塘 (TA308)	石梨贝水塘 (TA308)
石梨貝水塘 (TA740)	石梨贝水塘 (TA740)
石硤尾公園 (SS116)	石硖尾公园 (SS116)
石硤尾公園 (SS581)	石硖尾公园 (SS581)
石硤尾商場 (SS130)	石硖尾商场 (SS130)
石硤尾商場 (SS591)	石硖尾商场 (SS591)
石門轉車站-新界鄉議局大樓	石门转车站-新界乡议局大楼
祈德尊新邨 (TW326)	祈德尊新邨 (TW326)
祈德尊新邨 (TW327)	祈德尊新邨 (TW327)
祈德尊新邨 (TW540)	祈德尊新邨 (TW540)
祈德尊新邨 (TW541)	祈德尊新邨 (TW541)
祖堯邨商場 (KW295)	祖尧邨商场 (KW295)
祖堯邨商場 (KW430)	祖尧邨商场 (KW430)
禮賢會中學 (ND567)	礼贤会中学 (ND567)
秀茂坪商場 (KT386)	秀茂坪商场 (KT386)
秀茂坪商場 (KT387)	秀茂坪商场 (KT387)
秀茂坪商場 (KT521)	秀茂坪商场 (KT521)
秀茂坪商場 (KT522)	秀茂坪商场 (KT522)
竹園邨總站 (WT912)	竹园邨总站 (WT912)
竹園邨總站 (WT913)	竹园邨总站 (WT913)
竹園邨總站 (WT914)	竹园邨总站 (WT914)
竹園邨總站 (WT915)	竹园邨总站 (WT915)
竹園邨總站 (WT916)	竹园邨总站 (WT916)
第一城總站 (ST706)	第一城总站 (ST706)
第一城總站 (ST707)	第一城总站 (ST707)
管翠路8號 (TM415)	管翠路8号 (TM415)
粉嶺樂和街 (ND552)	粉岭乐和街 (ND552)
粉嶺消防局 (ND260)	粉岭消防局 (ND260)
粉嶺消防局 (ND554)	粉岭消防局 (ND554)
粉嶺消防局 (ND555)	粉岭消防局 (ND555)
粉嶺置福圍 (ND410)	粉岭置福围 (ND410)
粉嶺置福圍 (ND411)	粉岭置福围 (ND411)
粉嶺置福圍 (ND412)	粉岭置福围 (ND412)
粉嶺置福圍 (ND413)	粉岭置福围 (ND413)
紅磡佛光街 (HH243)	红磡佛光街 (HH243)
紅磡佛光街 (HH244)	红磡佛光街 (HH244)
紅磡北拱街 (HH177)	红磡北拱街 (HH177)
紅磡北拱街 (HH178)	红磡北拱街 (HH178)
紅磡北拱街 (HH738)	红磡北拱街 (HH738)
紅磡北拱街 (HH739)	红磡北拱街 (HH739)
紅磡家維邨 (HH240)	红磡家维邨 (HH240)
紅磡家維邨 (HH241)	红磡家维邨 (HH241)
紅磡家維邨 (HH242)	红磡家维邨 (HH242)
紅磡山谷道 (HH175)	红磡山谷道 (HH175)
紅磡山谷道 (HH176)	红磡山谷道 (HH176)
紅磡平治街 (HH740)	红磡平治街 (HH740)
紅磡平治街 (HH741)	红磡平治街 (HH741)
紅磡庇利街 (HH780)	红磡庇利街 (HH780)
紅磡庇利街 (HH781)	红磡庇利街 (HH781)
紅磡庇利街 (HH782)	红磡庇利街 (HH782)
紅磡民泰街 (HH350)	红磡民泰街 (HH350)
紅磡民裕街 (HH786)	红磡民裕街 (HH786)
紅磡站總站 (HH970)	红磡站总站 (HH970)
紅磡站總站 (HH971)	红磡站总站 (HH971)
紅磡站總站 (HH972)	红磡站总站 (HH972)
紅磡站總站 (HH973)	红磡站总站 (HH973)
紅磡站總站 (HH974)	红磡站总站 (HH974)
紅磡站總站 (HH975)	红磡站总站 (HH975)
紅磡站總站 (HH976)	红磡站总站 (HH976)
紅磡站總站 (HH977)	红磡站总站 (HH977)
紅磡鶴園街 (HH783)	红磡鹤园街 (HH783)
紅磡鶴園街 (HH784)	红磡鹤园街 (HH784)
紅磡鶴園街 (HH785)	红磡鹤园街 (HH785)
紅隧轉車站 (HH502)	红隧转车站 (HH502)
紅隧轉車站 (HH503)	红隧转车站 (HH503)
紅隧轉車站 (HH504)	红隧转车站 (HH504)
紅隧轉車站 (HH505)	红隧转车站 (HH505)
紅隧轉車站 (HH506)	红隧转车站 (HH506)
紅隧轉車站 (HH507)	红隧转车站 (HH507)
紅隧轉車站 (HH508)	红隧转车站 (HH508)
紅隧轉車站 (HH510)	红隧转车站 (HH510)
紅隧轉車站 (HH511)	红隧转车站 (HH511)
紅隧轉車站 (HH600)	红隧转车站 (HH600)
紅隧轉車站 (HH601)	红隧转车站 (HH601)
紅隧轉車站 (HH602)	红隧转车站 (HH602)
置富第一城 (ST300)	置富第一城 (ST300)
置富第一城 (ST301)	置富第一城 (ST301)
置富第一城 (ST302)	置富第一城 (ST302)
置富第一城 (ST303)	置富第一城 (ST303)
置富第一城 (ST708)	置富第一城 (ST708)
置富第一城 (ST709)	置富第一城 (ST709)
置富第一城 (ST710)	置富第一城 (ST710)
置富第一城 (ST711)	置富第一城 (ST711)
置富第一城 (ST712)	置富第一城 (ST712)
置富第一城 (ST713)	置富第一城 (ST713)
美孚轉車站 (SS318)	美孚转车站 (SS318)
美孚轉車站 (SS319)	美孚转车站 (SS319)
美孚轉車站 (SS320)	美孚转车站 (SS320)
美孚轉車站 (SS321)	美孚转车站 (SS321)
美孚轉車站 (SS322)	美孚转车站 (SS322)
美孚轉車站 (SS323)	美孚转车站 (SS323)
美孚轉車站 (SS324)	美孚转车站 (SS324)
美孚轉車站 (SS460)	美孚转车站 (SS460)
美孚轉車站 (SS461)	美孚转车站 (SS461)
美孚轉車站 (SS462)	美孚转车站 (SS462)
美孚轉車站 (SS463)	美孚转车站 (SS463)
美孚轉車站 (SS464)	美孚转车站 (SS464)
耀安邨總站 (MA933)	耀安邨总站 (MA933)
聖佐治大廈 (KC336)	圣佐治大厦 (KC336)
聖佐治大廈 (KC337)	圣佐治大厦 (KC337)
聖保祿醫院 (ED255)	圣保禄医院 (ED255)
聖安德烈堂 (YT557)	圣安德烈堂 (YT557)
聖德肋撒堂 (KC741)	圣德肋撒堂 (KC741)
聖母領報堂 (TW220)	圣母领报堂 (TW220)
聖母領報堂 (TW221)	圣母领报堂 (TW221)
聖羅撒書院 (ST306)	圣罗撒书院 (ST306)
聖羅撒書院 (ST307)	圣罗撒书院 (ST307)
聖羅撒書院 (ST700)	圣罗撒书院 (ST700)
聖羅撒書院 (ST701)	圣罗撒书院 (ST701)
聯和墟球場 (ND263)	联和墟球场 (ND263)
聯和墟球場 (ND264)	联和墟球场 (ND264)
聯和墟總站 (ND960)	联和墟总站 (ND960)
聯和墟總站 (ND961)	联和墟总站 (ND961)
聯和墟總站 (ND962)	联和墟总站 (ND962)
聯和墟總站 (ND963)	联和墟总站 (ND963)
聯和墟總站 (ND964)	联和墟总站 (ND964)
聯和墟總站 (ND965)	联和墟总站 (ND965)
聯和墟總站 (ND966)	联和墟总站 (ND966)
聯和墟總站 (ND967)	联和墟总站 (ND967)
聯和墟總站 (ND968)	联和墟总站 (ND968)
職安健學院 (TY341)	职安健学院 (TY341)
船灣避風塘 (TP691)	船湾避风塘 (TP691)
船灣避風塘 (TP712)	船湾避风塘 (TP712)
良景邨總站 (TM538)	良景邨总站 (TM538)
良景邨總站 (TM539)	良景邨总站 (TM539)
良景邨總站 (TM936)	良景邨总站 (TM936)
良景邨總站 (TM937)	良景邨总站 (TM937)
良景邨總站 (TM938)	良景邨总站 (TM938)
荃富街公園 (TW595)	荃富街公园 (TW595)
荃富街公園 (TW596)	荃富街公园 (TW596)
荃富街公園 (TW597)	荃富街公园 (TW597)
荃景圍天橋 (TW153)	荃景围天桥 (TW153)
荃景圍天橋 (TW154)	荃景围天桥 (TW154)
荃景圍天橋 (TW155)	荃景围天桥 (TW155)
荃景圍天橋 (TW156)	荃景围天桥 (TW156)
荃景圍天橋 (TW157)	荃景围天桥 (TW157)
荃景圍天橋 (TW158)	荃景围天桥 (TW158)
荃景圍天橋 (TW159)	荃景围天桥 (TW159)
荃景圍天橋 (TW370)	荃景围天桥 (TW370)
荃景圍天橋 (TW371)	荃景围天桥 (TW371)
荃景圍天橋 (TW372)	荃景围天桥 (TW372)
荃景圍天橋 (TW373)	荃景围天桥 (TW373)
荃景圍天橋 (TW374)	荃景围天桥 (TW374)
荃景圍天橋 (TW375)	荃景围天桥 (TW375)
荃景圍天橋 (TW376)	荃景围天桥 (TW376)
荃景圍天橋 (TW377)	荃景围天桥 (TW377)
荃景圍天橋 (TW378)	荃景围天桥 (TW378)
荃景圍街巿 (TW443)	荃景围街巿 (TW443)
荃景圍街市 (TW441)	荃景围街市 (TW441)
荃景圍街市 (TW442)	荃景围街市 (TW442)
荃灣大河道 (TW290)	荃湾大河道 (TW290)
荃灣大河道 (TW292)	荃湾大河道 (TW292)
荃灣大河道 (TW570)	荃湾大河道 (TW570)
荃灣大河道 (TW572)	荃湾大河道 (TW572)
荃灣大河道 (TW573)	荃湾大河道 (TW573)
荃灣大河道 (TW574)	荃湾大河道 (TW574)
荃灣富華街 (TW142)	荃湾富华街 (TW142)
荃灣富華街 (TW143)	荃湾富华街 (TW143)
荃灣川龍街 (TW261)	荃湾川龙街 (TW261)
荃灣建明街 (TW144)	荃湾建明街 (TW144)
荃灣建明街 (TW145)	荃湾建明街 (TW145)
荃灣建明街 (TW146)	荃湾建明街 (TW146)
荃灣建明街 (TW147)	荃湾建明街 (TW147)
荃灣橫龍街 (TW271)	荃湾横龙街 (TW271)
荃灣橫龍街 (TW272)	荃湾横龙街 (TW272)
荃灣橫龍街 (TW273)	荃湾横龙街 (TW273)
荃灣眾安街 (TW134)	荃湾众安街 (TW134)
荃灣眾安街 (TW135)	荃湾众安街 (TW135)
荃灣眾安街 (TW136)	荃湾众安街 (TW136)
荃灣眾安街 (TW137)	荃湾众安街 (TW137)
荃灣眾安街 (TW138)	荃湾众安街 (TW138)
荃灣眾安街 (TW139)	荃湾众安街 (TW139)
荃灣眾安街 (TW387)	荃湾众安街 (TW387)
荃灣眾安街 (TW388)	荃湾众安街 (TW388)
荃灣眾安街 (TW389)	荃湾众安街 (TW389)
荃灣眾安街 (TW390)	荃湾众安街 (TW390)
荃灣眾安街 (TW391)	荃湾众安街 (TW391)
荃灣聯仁街 (TW120)	荃湾联仁街 (TW120)
荃灣聯仁街 (TW121)	荃湾联仁街 (TW121)
荃灣聯仁街 (TW285)	荃湾联仁街 (TW285)
